C1,C2,C5,C8,C10,C11,C12,C16,C17,C20,C23,C25,C29,C30,C32,C36,C44,N2,N3,N4,N5,N7,N11,N12,N13,N14,N15,N16,N20,N21,N22,N24,N25,N27,N30,N31,SalePrice
20,RL,Reg,Inside,Timber,Norm,Norm,CompShg,VinylSd,Ex,Ex,Av,Ex,Y,Ex,Fin,Normal,14601,9,5,2006,584,1838,1838,0,0,1838,1,2,1,8,2006,3,270,0,0,315000
60,RL,Reg,Inside,CollgCr,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,RFn,Normal,8158,7,5,2003,252,884,884,884,0,1768,1,3,1,8,2003,2,0,0,0,224900
20,RL,IR3,Inside,Timber,Norm,Norm,CompShg,BrkFace,TA,Gd,Gd,TA,Y,TA,RFn,Normal,215245,7,5,1965,0,2136,2036,0,0,2036,2,3,1,8,1965,2,0,0,0,375000
20,RL,IR1,Inside,StoneBr,Norm,Norm,CompShg,VinylSd,Gd,Gd,Gd,Ex,Y,Gd,Fin,Partial,11302,8,5,2005,238,1814,1826,0,0,1826,1,3,1,7,2005,3,180,0,120,319000
30,RM,Reg,Inside,OldTown,Norm,Norm,CompShg,Wd Sdng,Gd,TA,No,TA,Y,TA,Unf,Normal,8520,5,6,1923,0,968,968,0,0,968,0,2,1,5,1935,2,0,0,0,100000
70,RM,Reg,Corner,OldTown,Artery,Norm,CompShg,VinylSd,TA,Fa,No,TA,Y,Ex,Unf,Abnorml,9000,5,6,1880,0,636,1089,661,0,1750,0,3,1,8,1937,1,0,0,0,124000
40,RM,Reg,Corner,OldTown,Norm,Norm,CompShg,MetalSd,TA,TA,Mn,Gd,Y,Gd,Unf,Normal,5400,6,7,1926,0,1149,1149,467,0,1616,0,3,1,5,1926,1,0,0,0,152000
160,RM,Reg,Inside,Edwards,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,Unf,Normal,3363,7,5,2004,117,976,976,732,0,1708,0,3,1,7,2004,2,0,0,0,130000
50,RM,Reg,Corner,BrkSide,Norm,Norm,CompShg,WdShing,TA,TA,No,TA,Y,TA,RFn,Normal,6000,6,7,1929,0,862,950,208,0,1158,0,3,1,5,1929,1,0,0,0,120000
50,RL,Reg,Inside,0mes,Artery,Norm,CompShg,MetalSd,TA,TA,No,TA,Y,TA,Unf,Normal,10930,5,6,1945,0,913,1048,510,0,1558,1,3,1,6,1962,1,0,0,0,140000
20,RL,Reg,Inside,Somerst,Norm,Norm,CompShg,VinylSd,Gd,Ex,Av,Ex,Y,Gd,RFn,Partial,9986,8,5,2006,428,1795,1795,0,0,1795,0,2,1,7,2007,3,0,0,0,147000
60,RL,IR2,FR2,Gilbert,Norm,Norm,CompShg,HdBoard,TA,Gd,Gd,Ex,Y,TA,Unf,Normal,21872,7,5,1996,0,729,729,717,0,1446,0,3,1,6,1996,2,264,0,0,175000
60,RL,Reg,FR2,NoRidge,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,Fin,Normal,11000,8,5,2000,72,969,997,1288,0,2285,0,4,1,8,2000,3,0,0,0,248000
60,RL,IR1,Corner,NridgHt,Norm,Norm,CompShg,VinylSd,Gd,Ex,Av,Ex,Y,Gd,RFn,Partial,14215,8,5,2005,380,1158,1158,1218,0,2376,0,4,1,9,2005,3,240,0,0,325300
60,RL,Reg,Inside,Sawyer,Norm,Norm,CompShg,HdBoard,TA,TA,No,TA,Y,TA,Fin,Normal,7844,6,7,1978,203,672,672,728,0,1400,0,3,1,6,1978,2,0,0,0,149500
70,RL,IR1,Corner,Crawfor,Norm,Norm,CompShg,BrkFace,TA,Gd,No,Fa,Y,Gd,Unf,Normal,11435,8,7,1929,0,792,792,725,0,1517,0,3,1,7,1931,2,0,0,0,230000
20,RM,IR1,Inside,OldTown,Feedr,RRNn,CompShg,MetalSd,TA,TA,No,TA,Y,TA,RFn,Normal,8235,5,7,1955,0,825,825,0,0,825,1,2,1,4,1963,2,140,0,0,125000
75,RL,IR1,Inside,BrkSide,PosN,Norm,CompShg,Wd Sdng,TA,TA,No,Gd,N,Gd,Unf,Normal,11888,6,6,1916,0,844,1445,689,0,2134,0,5,1,10,1930,2,0,0,0,214500
20,RL,Reg,FR2,Sawyer,Feedr,Norm,CompShg,HdBoard,TA,TA,No,TA,Y,TA,Unf,Normal,8521,5,5,1967,0,912,912,0,0,912,0,3,1,5,1974,1,0,0,0,125000
20,RL,Reg,Inside,NWAmes,Norm,Norm,CompShg,HdBoard,TA,TA,No,Fa,Y,Gd,RFn,Normal,10140,6,6,1974,99,1040,1309,0,0,1309,1,3,1,5,1974,2,265,0,0,181000
20,RL,IR1,FR2,Sawyer,Feedr,Norm,CompShg,VinylSd,TA,TA,No,Ex,Y,Gd,RFn,Normal,9764,5,7,1967,0,894,894,0,0,894,1,3,1,5,1967,2,0,0,0,130000
85,RL,IR1,CulDSac,Sawyer,Norm,Norm,CompShg,Wd Sdng,TA,Gd,Av,TA,Y,TA,Unf,Normal,7252,5,5,1982,0,858,858,0,0,858,1,2,1,5,1983,2,120,0,0,134900
20,RL,Reg,Inside,CollgCr,Norm,Norm,CompShg,VinylSd,Gd,Gd,Av,Ex,Y,Gd,RFn,Partial,7406,7,5,2006,84,1199,1220,0,0,1220,1,2,1,6,2006,2,105,0,0,194000
50,RM,Reg,Inside,OldTown,Norm,Norm,CompShg,AsbShng,TA,TA,No,TA,Y,TA,Unf,Normal,3500,5,7,1947,0,720,720,564,0,1284,0,2,1,5,1948,1,0,0,0,110000
20,RL,IR1,Corner,0mes,Norm,Norm,CompShg,BrkFace,TA,TA,Mn,Ex,Y,TA,Fin,Normal,12925,6,7,1970,0,1205,2117,0,0,2117,0,4,1,7,1970,2,0,0,0,237500
20,RL,IR1,CulDSac,Gilbert,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,RFn,Partial,14859,7,5,2006,27,1670,1670,0,0,1670,0,3,1,7,2006,3,144,0,0,240000
20,RL,Reg,Inside,CollgCr,Norm,Norm,CompShg,VinylSd,TA,Gd,No,Ex,Y,Gd,Unf,Normal,9525,5,6,1995,0,1099,1099,0,0,1099,0,3,1,6,1999,1,278,0,0,144000
60,RL,IR1,Inside,Gilbert,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,Fin,Normal,8795,7,5,2000,0,952,980,1276,0,2256,0,4,1,8,2000,2,224,0,0,236000
190,RL,Reg,Inside,Edwards,Norm,Norm,CompShg,MetalSd,TA,TA,No,TA,N,TA,Unf,Normal,10880,5,5,1950,0,1164,1164,0,0,1164,1,3,1,5,1950,1,0,0,0,125000
85,RL,Reg,Inside,Mitchel,Norm,Norm,CompShg,VinylSd,TA,Gd,Av,Ex,Y,TA,Unf,Normal,7244,5,7,1970,0,768,768,0,0,768,1,2,1,5,1987,2,104,0,0,129500
120,RM,Reg,Inside,CollgCr,Norm,Norm,CompShg,VinylSd,Gd,Gd,Mn,Ex,Y,Gd,RFn,Normal,4435,6,5,2004,169,848,848,0,0,848,1,1,1,3,2004,2,140,0,0,155900
70,RL,Reg,Inside,Crawfor,Norm,Norm,CompShg,CemntBd,Ex,TA,No,Ex,Y,Gd,RFn,Normal,9042,7,9,1941,0,1152,1188,1152,0,2340,0,4,1,9,1941,1,0,0,0,266500
60,RL,Reg,Inside,0mes,PosN,Norm,CompShg,VinylSd,TA,TA,No,TA,Y,TA,RFn,Normal,7590,6,5,1966,266,660,660,688,0,1348,0,3,1,6,1966,2,188,0,0,155000
50,RL,Reg,Corner,SWISU,Feedr,Norm,CompShg,Wd Sdng,TA,Gd,No,Ex,Y,Gd,Unf,Normal,7200,5,7,1937,252,731,981,787,0,1768,1,3,1,7,1939,1,0,0,0,175000
20,RM,Reg,Corner,OldTown,Norm,Norm,CompShg,MetalSd,TA,TA,No,Ex,Y,TA,Unf,Normal,6000,4,7,1954,0,901,901,0,0,901,0,2,1,4,1954,1,0,0,0,107900
45,RM,Reg,Inside,IDOTRR,RRAe,Norm,CompShg,MetalSd,TA,TA,Av,Po,N,TA,Unf,Normal,5000,5,6,1941,0,720,803,0,0,803,0,2,1,5,1941,2,0,0,0,87000
20,RL,IR1,Inside,ClearCr,Norm,Norm,WdShngl,Plywood,TA,Gd,Gd,TA,Y,Gd,Unf,Normal,70761,7,5,1975,0,1533,1533,0,0,1533,1,2,1,5,1975,2,200,0,0,280000
20,RL,Reg,Inside,0mes,Norm,Norm,CompShg,Wd Sdng,TA,TA,No,Ex,Y,TA,Unf,Normal,9100,6,6,1959,0,864,864,0,0,864,0,2,1,5,2008,1,0,0,0,127500
20,RL,IR1,Inside,Timber,Norm,Norm,CompShg,Stucco,Ex,Ex,Gd,Ex,Y,Ex,Fin,Normal,13214,9,5,2008,0,2002,2018,0,0,2018,0,3,1,10,2009,3,144,0,0,378500
160,FV,Reg,Inside,Somerst,Norm,Norm,CompShg,MetalSd,Gd,Gd,No,Ex,Y,Gd,RFn,Normal,3182,7,5,2004,0,600,600,600,0,1200,0,2,1,4,2004,2,0,0,0,151000
20,RL,IR1,Inside,Somerst,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Ex,Fin,Partial,14587,9,5,2008,284,1498,1506,0,0,1506,0,2,1,6,2008,2,0,0,0,264132
80,RL,IR1,Corner,Sawyer,Norm,Norm,CompShg,HdBoard,TA,Gd,Av,TA,Y,TA,Unf,Normal,8471,6,7,1977,46,506,1212,0,0,1212,1,3,1,6,1978,2,292,0,0,151000
60,RL,IR1,Inside,Gilbert,Norm,Norm,CompShg,VinylSd,TA,Gd,No,Ex,Y,Gd,Fin,Normal,8029,6,5,2005,0,728,728,728,0,1456,0,3,1,8,2005,2,100,0,0,176000
20,RL,Reg,Inside,0mes,Norm,Norm,CompShg,BrkFace,TA,TA,No,Gd,Y,TA,RFn,Normal,8400,6,3,1957,0,1478,1478,0,0,1478,1,3,1,6,1957,2,114,0,216,156500
160,RM,Reg,Inside,Blueste,Norm,Norm,CompShg,MetalSd,TA,Gd,No,TA,Y,TA,Fin,Normal,1300,6,6,1980,0,561,561,668,0,1229,0,2,1,5,1980,2,150,0,0,124000
80,RL,Reg,Inside,Timber,Norm,Norm,CompShg,VinylSd,TA,Gd,No,Gd,Y,Gd,Fin,Normal,9735,5,5,2006,0,384,754,640,0,1394,0,3,1,7,2007,2,100,0,0,167500
180,RM,Reg,Inside,MeadowV,Norm,Norm,CompShg,CemntBd,TA,Gd,Av,TA,Y,Gd,Unf,Normal,1526,4,8,1970,0,630,630,0,0,630,1,1,1,3,1970,1,0,0,0,86000
20,RL,Reg,Inside,NridgHt,Norm,Norm,CompShg,VinylSd,Gd,Ex,Gd,Ex,Y,Gd,RFn,Partial,13891,8,5,2007,436,1710,1710,0,0,1710,1,2,1,6,2007,3,0,0,0,372402
20,RL,Reg,Inside,NridgHt,Norm,Norm,CompShg,VinylSd,Gd,Ex,No,Ex,Y,Gd,RFn,Normal,11478,8,5,2007,200,1704,1704,0,0,1704,1,3,1,7,2008,3,0,0,0,306000
60,RL,Reg,Inside,Gilbert,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,Fin,Normal,7875,7,5,2003,0,783,807,702,0,1509,0,3,1,8,2003,2,0,0,0,180000
50,RL,Reg,Inside,BrkSide,Norm,Norm,CompShg,Wd Sdng,Gd,TA,No,Gd,N,Ex,Unf,Normal,7264,7,7,1925,0,952,952,596,0,1548,0,3,1,5,1978,2,74,0,144,205000
160,FV,IR2,FR2,Somerst,Norm,Norm,CompShg,MetalSd,Gd,Gd,No,Ex,Y,Gd,Unf,Normal,5105,7,5,2004,0,551,551,551,0,1102,0,2,1,4,2004,2,0,0,0,148800
20,RL,Reg,Inside,SawyerW,Norm,Norm,CompShg,HdBoard,TA,Gd,No,Gd,Y,Gd,RFn,Normal,7153,6,5,1991,88,1278,1294,0,0,1294,1,3,1,6,1991,2,112,0,0,179200
80,RL,Reg,Inside,0mes,Norm,Norm,CompShg,BrkFace,TA,TA,No,Gd,Y,TA,Unf,Normal,7910,5,5,1960,0,1075,1507,0,0,1507,0,4,1,7,1960,1,0,0,0,127000
120,RL,IR1,Inside,StoneBr,Norm,Norm,CompShg,HdBoard,Gd,Gd,Mn,Gd,Y,Gd,Fin,Normal,4671,8,5,1988,0,1228,1228,0,0,1228,1,2,1,5,1988,2,168,0,0,189000
50,RM,Reg,Corner,IDOTRR,Artery,Norm,CompShg,CemntBd,TA,TA,No,TA,N,Fa,No,Normal,8500,5,7,1919,0,793,997,520,0,1517,0,3,1,7,0,0,0,0,0,115000
30,RL,Reg,Inside,Crawfor,Norm,Norm,CompShg,MetalSd,TA,Fa,No,Ex,Y,Fa,Unf,Normal,6305,5,7,1938,0,920,954,0,0,954,0,2,1,5,1938,1,0,0,0,119750
50,RM,Reg,Corner,OldTown,Norm,Norm,CompShg,Wd Sdng,TA,TA,No,TA,Y,TA,Unf,Normal,5500,5,7,1929,0,926,926,0,390,1316,1,3,1,6,1974,2,0,0,0,130000
60,RL,IR1,Inside,ClearCr,Norm,Norm,CompShg,HdBoard,TA,TA,Gd,Gd,Y,Gd,Fin,Normal,12205,6,8,1966,157,832,976,1111,0,2087,0,5,1,9,1966,2,133,0,0,187500
45,RH,Reg,Corner,SawyerW,Norm,Norm,CompShg,Wd Sdng,TA,Fa,No,TA,N,TA,Unf,Normal,9000,6,3,1928,0,784,784,0,0,784,0,2,1,5,1950,2,0,0,0,76000
20,RL,IR1,Inside,0mes,Norm,Norm,CompShg,Plywood,TA,TA,No,Fa,Y,TA,RFn,Abnorml,12160,5,5,1959,180,1188,1188,0,0,1188,1,3,1,6,1959,2,0,0,0,142000
160,RM,Reg,Inside,MeadowV,Norm,Norm,CompShg,CemntBd,TA,Gd,No,TA,Y,TA,Unf,Normal,2592,5,3,1976,0,536,536,576,0,1112,0,3,1,4,1976,1,182,0,0,85000
190,RM,Reg,Inside,OldTown,Norm,Norm,CompShg,Wd Sdng,TA,TA,No,TA,Y,Gd,Unf,Normal,6000,5,4,1954,0,811,811,576,0,1387,0,3,2,7,1954,1,0,0,0,93000
30,RM,Reg,Inside,OldTown,Norm,Norm,CompShg,VinylSd,TA,TA,No,Gd,Y,Gd,No,Normal,3880,5,9,1945,0,686,866,0,0,866,0,2,1,4,0,0,58,0,0,110500
50,RL,Reg,Inside,Crawfor,Norm,Norm,CompShg,BrkFace,TA,TA,No,Gd,Y,TA,Unf,Normal,7558,6,6,1928,0,896,1172,741,0,1913,0,3,1,9,1929,2,0,0,0,177000
20,RL,IR1,Inside,Crawfor,Norm,Norm,CompShg,BrkFace,TA,TA,No,TA,Y,TA,Fin,Normal,15602,7,8,1959,0,1501,1801,0,0,1801,1,1,1,6,1959,2,0,0,161,289000
20,RL,Reg,Inside,Sawyer,Norm,Norm,CompShg,HdBoard,TA,TA,No,TA,Y,TA,RFn,Normal,8414,6,8,1963,0,1059,1068,0,0,1068,0,3,1,6,1963,1,192,0,0,154500
90,RL,Reg,Inside,0mes,Norm,Norm,CompShg,Wd Sdng,TA,TA,Av,TA,Y,TA,Unf,Normal,7728,5,6,1962,120,1106,1190,0,0,1190,1,3,1,6,1962,2,0,0,0,132500
20,RL,IR1,Inside,0mes,Norm,Norm,CompShg,MetalSd,TA,No,No,TA,Y,TA,RFn,Normal,8339,5,7,1959,0,0,882,0,0,882,0,3,1,5,1959,1,0,0,0,106500
60,RL,Reg,Inside,NWAmes,Feedr,Norm,CompShg,HdBoard,TA,TA,No,Gd,Y,Gd,Unf,Normal,9130,6,8,1966,252,800,800,832,0,1632,0,4,1,7,1966,2,0,0,0,173000
120,RL,Reg,Inside,Blmngtn,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,Fin,Normal,3684,7,5,2007,130,1373,1555,0,0,1555,0,2,1,7,2007,3,143,0,0,174000
20,RL,IR1,Inside,Edwards,Norm,Norm,CompShg,Wd Sdng,TA,Ex,Mn,Fa,Y,TA,Unf,Normal,6420,5,7,1952,0,980,1148,0,0,1148,0,2,1,6,1952,1,0,0,0,123500
190,RM,Reg,Inside,OldTown,Norm,Norm,CompShg,VinylSd,TA,TA,No,Gd,Y,TA,Unf,Normal,11340,4,6,1885,0,777,1246,1044,0,2290,0,4,2,11,1971,2,0,0,0,122500
30,RL,IR1,Inside,Edwards,Norm,Norm,CompShg,VinylSd,TA,TA,No,Ex,Y,TA,Unf,Normal,12342,4,5,1940,0,861,861,0,0,861,0,1,1,4,1961,2,158,0,0,82500
45,RM,IR1,Inside,OldTown,Feedr,Norm,CompShg,WdShing,TA,TA,No,Ex,Y,TA,No,Normal,4388,5,7,1930,0,672,840,0,0,840,0,3,1,5,0,0,0,0,0,87000
20,RL,IR1,Inside,NridgHt,Norm,Norm,CompShg,VinylSd,Gd,Ex,Gd,Ex,Y,Gd,RFn,Partial,14977,8,5,2006,304,1976,1976,0,0,1976,1,2,1,7,2006,3,250,0,0,440000
20,RL,Reg,Corner,CollgCr,Norm,Norm,CompShg,VinylSd,TA,TA,No,TA,Y,TA,Unf,Normal,7700,5,5,1972,0,882,882,0,0,882,1,3,1,5,1980,2,96,0,0,112500
30,RL,Reg,Inside,OldTown,Norm,Norm,CompShg,Wd Sdng,TA,TA,No,TA,Y,TA,Unf,Normal,10800,4,6,1927,0,656,968,0,0,968,0,4,1,5,1928,1,0,0,0,64500
160,FV,IR1,Inside,Somerst,Norm,Norm,CompShg,MetalSd,Gd,Gd,No,Ex,Y,Gd,RFn,Partial,4251,7,5,2006,0,625,625,625,0,1250,0,2,1,5,2006,2,0,0,0,164700
50,RL,Reg,Inside,0mes,Norm,Norm,CompShg,VinylSd,TA,TA,No,Ex,Y,TA,Unf,Normal,9600,6,8,1950,0,856,1112,556,0,1668,0,3,1,6,1950,1,0,0,0,140000
70,RL,Reg,Inside,Edwards,Artery,Norm,CompShg,MetalSd,TA,TA,Mn,TA,Y,TA,Unf,Normal,9084,4,5,1940,0,755,755,755,0,1510,1,4,1,7,1940,1,120,0,0,108000
20,RL,Reg,Inside,Crawfor,Norm,Norm,CompShg,Plywood,TA,Gd,Mn,Ex,Y,Gd,Fin,Normal,12984,5,6,1977,459,1430,1647,0,0,1647,1,3,1,7,1977,2,0,0,0,217500
60,RL,IR1,FR2,NoRidge,Norm,Norm,CompShg,VinylSd,Gd,Gd,Av,Ex,Y,Gd,RFn,Normal,14260,8,5,2000,350,1145,1145,1053,0,2198,1,4,1,9,2000,3,192,0,0,250000
50,RM,IR1,Inside,OldTown,Feedr,Norm,CompShg,MetalSd,TA,TA,No,TA,Y,TA,Unf,Normal,12358,5,6,1941,0,720,854,0,528,1382,0,2,1,7,1991,2,237,0,0,128500
20,RL,Reg,Inside,SawyerW,RRAe,Norm,CompShg,VinylSd,TA,Gd,No,Ex,Y,Gd,Unf,Partial,13072,6,5,2004,0,1158,1158,0,0,1158,1,3,1,5,2006,2,0,0,0,158000
90,RL,Reg,Inside,Edwards,Feedr,Norm,CompShg,MetalSd,TA,TA,No,Gd,Y,TA,No,Normal,8777,5,7,1900,0,1272,1272,928,0,2200,2,4,2,9,0,0,0,0,0,145900
60,RL,IR1,Corner,NWAmes,PosN,Norm,CompShg,HdBoard,TA,Gd,No,TA,Y,TA,Fin,Normal,12227,6,7,1977,424,1330,1542,1330,0,2872,1,4,1,11,1977,2,550,0,0,272000
80,RL,Reg,Inside,0mes,Norm,Norm,CompShg,HdBoard,TA,TA,Av,TA,Y,TA,RFn,Normal,8163,5,6,1959,128,1144,1144,0,0,1144,1,3,1,6,1959,1,86,0,0,143000
60,RL,IR1,Corner,SawyerW,Norm,Norm,CompShg,HdBoard,Gd,Ex,Mn,Ex,Y,Gd,RFn,Normal,13125,7,5,1991,0,1104,912,1215,0,2127,1,4,1,8,1991,3,72,0,0,238000
20,RL,IR1,Inside,CollgCr,Norm,Norm,CompShg,VinylSd,TA,Gd,Gd,Ex,Y,Gd,RFn,Normal,9236,6,5,1997,0,1479,1494,0,0,1494,1,3,1,6,1997,2,168,0,0,217000
120,RL,Reg,Inside,StoneBr,Norm,Norm,CompShg,CemntBd,Gd,Ex,Av,Ex,Y,Ex,Fin,Normal,4923,8,5,2001,0,1593,1593,0,0,1593,1,0,1,5,2001,2,0,0,224,286000
90,RL,IR1,Inside,0mes,Norm,Norm,CompShg,HdBoard,TA,TA,No,TA,Y,TA,Unf,Normal,10624,5,4,1964,84,1728,1728,0,0,1728,0,6,2,10,2002,1,155,0,0,119000
60,RL,Reg,Inside,NWAmes,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,Fin,Normal,8400,8,6,2001,0,810,810,855,0,1665,1,3,1,6,2001,2,0,0,0,227000
30,RL,Reg,Inside,Edwards,Norm,Norm,CompShg,MetalSd,TA,TA,No,TA,Y,TA,Unf,Normal,9340,4,6,1941,0,672,672,0,0,672,1,2,1,4,1941,1,0,0,0,113000
50,C (all),Reg,Inside,IDOTRR,Norm,Norm,CompShg,MetalSd,TA,TA,No,TA,Y,TA,RFn,Abnorml,7500,4,4,1920,0,698,698,430,0,1128,0,2,1,6,1980,2,30,0,0,68400
120,RM,IR1,Inside,Crawfor,Norm,Norm,CompShg,CemntBd,Gd,Ex,Gd,Ex,Y,Gd,Fin,Normal,3842,8,5,2004,174,1594,1646,0,0,1646,1,2,1,5,2004,2,128,0,155,275000
190,RM,Reg,Inside,IDOTRR,Norm,Norm,CompShg,VinylSd,Fa,No,No,Fa,N,Fa,No,Normal,5600,4,5,1930,0,0,372,720,0,1092,0,3,2,7,0,0,0,0,0,55000
20,RL,IR1,Inside,Timber,Norm,Norm,CompShg,VinylSd,Gd,Gd,Gd,Ex,Y,Gd,RFn,Partial,9520,8,5,2007,338,1638,1646,0,0,1646,1,3,1,7,2008,3,192,0,0,293077
50,RL,Reg,Inside,Edwards,Norm,Norm,CompShg,Wd Sdng,TA,TA,No,Ex,Y,TA,Unf,Normal,10998,5,5,1941,0,984,984,620,0,1604,0,3,1,6,1977,2,0,0,0,117000
160,FV,Reg,Inside,Somerst,Norm,Norm,CompShg,MetalSd,TA,Gd,No,Gd,Y,TA,Unf,Normal,3230,6,5,1999,894,729,742,729,0,1471,0,3,1,6,1999,2,0,0,0,172500
30,C (all),Reg,Inside,IDOTRR,Norm,Norm,CompShg,MetalSd,Fa,TA,No,TA,Y,TA,RFn,Normal,18000,3,4,1935,0,894,894,0,0,894,0,2,1,6,1994,3,0,0,0,81000
20,RL,Reg,Inside,Timber,Norm,Norm,CompShg,VinylSd,Gd,Ex,Gd,Ex,Y,Gd,Fin,Normal,14331,8,5,2002,630,1800,1800,0,0,1800,1,3,1,7,2002,3,270,0,0,312500
50,RL,Reg,Inside,SWISU,Norm,Norm,CompShg,Wd Sdng,TA,TA,No,Ex,Y,TA,Unf,Normal,8400,6,5,1940,0,940,1192,403,0,1595,0,2,1,6,1940,1,0,0,0,140000
20,RL,Reg,Inside,Edwards,Norm,Norm,CompShg,HdBoard,Gd,TA,No,Gd,Y,TA,Fin,Normal,9937,5,6,1965,0,1256,1256,0,0,1256,1,3,1,6,1965,1,736,0,0,147500
160,RM,Reg,Inside,BrDale,Norm,Norm,CompShg,HdBoard,TA,TA,No,TA,Y,TA,Unf,Abnorml,1680,6,5,1971,232,483,483,504,0,987,0,2,1,4,1971,1,0,0,0,85400
20,RL,IR2,CulDSac,CollgCr,Norm,Norm,CompShg,VinylSd,TA,Gd,No,Ex,Y,TA,Unf,Normal,13568,5,5,1995,0,990,990,0,0,990,0,3,1,5,1996,2,224,0,0,156000
30,RM,Reg,Inside,OldTown,Norm,Norm,CompShg,Wd Sdng,TA,TA,No,Ex,Y,Gd,Unf,Normal,5684,6,8,1930,0,813,813,0,0,813,0,2,1,5,1932,1,0,0,0,110000
